title,collected_date,published_date,tags,image_urls,urls,article_url
PF repatria bebê que estava em Portugal e foi vítima de tráfico humano,2026-05-18 18:00:54,,,[],"['https://www.cartacapital.com.br/tag/policia-federal/', 'https://www.cartacapital.com.br/tag/portugal/', 'https://www.cartacapital.com.br/tag/mpf/', 'https://www.cartacapital.com.br/tag/trafico-humano/']",https://www.cartacapital.com.br/justica/pf-repatria-bebe-que-estava-em-portugal-e-foi-vitima-de-trafico-humano/
MP denuncia cinco pessoas por suposta organização que criminosa movimentou mais de R$80 mi em SP,2026-05-18 18:00:55,,,[],['https://www.cartacapital.com.br/tag/trafico-de-drogas/'],https://www.cartacapital.com.br/cartaexpressa/mp-denuncia-cinco-pessoas-por-suposta-organizacao-criminosa-movimentou-mais-de-r80-mi-em-sp/
Operação da PF mira organização especializada em tráfico internacional de armas,2026-05-18 18:00:56,,,[],"['https://www.cartacapital.com.br/justica/a-vida-imita-hollywood/', 'https://www.cartacapital.com.br/politica/pf-manda-ao-stf-imagens-e-depoimentos-obtidos-nos-eua-sobre-o-escandalo-das-joias/', 'https://www.cartacapital.com.br/cartaexpressa/policia-do-rio-deflagra-megaoperacao-contra-o-comando-vermelho-no-alemao/', 'https://www.cartacapital.com.br/sociedade/mais-de-90-dos-fuzis-apreendidos-no-rj-em-2023-eram-importados/']",https://www.cartacapital.com.br/sociedade/operacao-da-pf-mira-organizacao-especializada-em-trafico-internacional-de-armas/
STF perdoa a pena de condenado por tráfico privilegiado,2026-05-18 18:00:58,,,[],"['https://www.cartacapital.com.br/tag/stf/', 'https://www.cartacapital.com.br/tag/sao-paulo/', 'https://www.cartacapital.com.br/politica/lula-assina-decreto-de-indulto-natalino-e-condenados-pelo-8-de-janeiro-ficam-de-fora/', 'https://www.cartacapital.com.br/tag/carmen-lucia/']",https://www.cartacapital.com.br/justica/stf-perdoa-a-pena-de-condenado-por-trafico-privilegiado/
"Procuradoria dos EUA divulga documentos sobre o caso Epstein, magnata acusado de liderar rede de tráfico sexual",2026-05-18 18:00:59,,,[],"['https://www.cartacapital.com.br/tag/jeffrey-epstein/', 'https://www.cartacapital.com.br/mundo/bilionario-americano-amigo-de-trump-e-acusado-de-trafico-sexual/', 'https://www.cartacapital.com.br/tag/donald-trump/']",https://www.cartacapital.com.br/mundo/procuradoria-dos-eua-divulga-documentos-sobre-o-caso-epstein-magnata-acusado-de-liderar-rede-de-trafico-sexual/
PF desarticula grupo que enviava ilegalmente pessoas aos EUA,2026-05-18 18:01:00,,,[],"['https://www.cartacapital.com.br/sociedade/novo-voo-de-deportados-dos-eua-chega-ao-brasil-nesta-sexta-feira/', 'https://www.cartacapital.com.br/sociedade/por-que-regiao-de-mg-se-tornou-exportadora-de-migrantes/', 'https://www.cartacapital.com.br/sociedade/brasileiros-resgatados-em-mianmar-chegam-em-guarulhos/']",https://www.cartacapital.com.br/sociedade/pf-desarticula-grupo-que-enviava-ilegalmente-pessoas-aos-eua/
Presidenta do México diz que não tolerará ‘invasão’ dos EUA em luta contra narcotráfico,2026-05-18 18:01:01,,,[],"['https://www.cartacapital.com.br/tag/claudia-sheinbaum/', 'https://www.cartacapital.com.br/tag/estados-unidos/']",https://www.cartacapital.com.br/mundo/presidenta-do-mexico-diz-que-nao-tolerara-invasao-dos-eua-em-luta-contra-narcotrafico/
Ataque armado em porto do Equador assolado pelo tráfico deixa sete mortos,2026-05-18 18:01:02,,,[],['https://www.cartacapital.com.br/tag/equador/'],https://www.cartacapital.com.br/mundo/ataque-armado-em-porto-do-equador-assolado-pelo-trafico-deixa-sete-mortos/
Bolívia: Juiz ordena a prisão de Evo Morales por suposto tráfico de menor,2026-05-18 18:01:04,,,[],['https://www.cartacapital.com.br/tag/evo-morales/'],https://www.cartacapital.com.br/mundo/bolivia-juiz-ordena-a-prisao-de-evo-morales-por-suposto-trafico-de-menor/
Megaoperação contra o Comando Vermelho no Alemão deixa 3 mortos e prende 12 pessoas,2026-05-18 18:01:05,,,[],"['https://www.cartacapital.com.br/tag/rio-de-janeiro/', 'https://www.cartacapital.com.br/tag/comando-vermelho/']",https://www.cartacapital.com.br/cartaexpressa/policia-do-rio-deflagra-megaoperacao-contra-o-comando-vermelho-no-alemao/
Operação contra grupo responsável por anabolizantes clandestinos prende 14 pessoas,2026-05-18 18:01:06,,,[],"['https://www.cartacapital.com.br/tag/ministerio-publico-do-rio-de-janeiro/', 'https://www.cartacapital.com.br/tag/rio-de-janeiro/']",https://www.cartacapital.com.br/sociedade/operacao-contra-grupo-responsavel-por-anabolizantes-clandestinos-prende-14-pessoas/
O que se sabe sobre o caso dos brasileiros vítimas de tráfico humano em Mianmar,2026-05-18 18:01:07,,,[],['https://www.cartacapital.com.br/tag/mianmar/'],https://www.cartacapital.com.br/sociedade/o-que-se-sabe-sobre-o-caso-de-brasileiros-vitimas-de-trafico-humano-em-mianmar/
Operação da Interpol contra o tráfico de seres humanos prende mais 2.500,2026-05-18 18:01:08,,,[],"['https://www.cartacapital.com.br/tag/interpol/', 'https://www.cartacapital.com.br/tag/trafico-humano/', 'https://www.cartacapital.com.br/tag/argentina/', 'https://www.cartacapital.com.br/tag/iraque/', 'https://www.cartacapital.com.br/tag/oriente-medio/', 'https://www.cartacapital.com.br/tag/filipinas/', 'https://www.cartacapital.com.br/mundo/o-lucrativo-e-mortal-trafico-de-migrantes-no-mexico/', 'https://www.cartacapital.com.br/tag/estados-unidos/', 'https://www.cartacapital.com.br/mundo/assembleia-geral-da-interpol-confirma-nomeacao-de-delegado-brasileiro-como-chefe-da-organizacao/']",https://www.cartacapital.com.br/mundo/operacao-da-interpol-contra-o-trafico-de-seres-humanos-prende-mais-2-500/
Sede de jornal mexicano é atacada a tiros em meio a guerra do narcotráfico,2026-05-18 18:01:09,,,[],['https://www.cartacapital.com.br/tag/mexico/'],https://www.cartacapital.com.br/mundo/sede-de-jornal-mexicano-e-atacada-a-tiros-em-meio-a-guerra-do-narcotrafico/
"Novo massacre deixa 7 mortos no Equador, assolado pela violência do narcotráfico",2026-05-18 18:01:11,,,[],"['https://www.cartacapital.com.br/tag/equador/', 'https://www.cartacapital.com.br/tag/daniel-noboa/']",https://www.cartacapital.com.br/mundo/novo-massacre-deixa-7-mortos-no-equador-assolado-pela-violencia-do-narcotrafico/
"Bolsonaro jamais apoiaria ‘alguém envolvido com pessoas ligadas ao PCC’, diz Nunes",2026-05-18 18:01:12,,,[],"['https://www.cartacapital.com.br/tag/ricardo-nunes/', 'https://www.cartacapital.com.br/tag/pablo-marcal/', 'https://www.cartacapital.com.br/tag/jair-bolsonaro/', 'https://www.cartacapital.com.br/politica/nunes-patina-e-marcal-avanca-sobre-eleitores-de-bolsonaro-em-sao-paulo/', 'https://www.cartacapital.com.br/tag/leonardo-avalanche/', 'https://www.cartacapital.com.br/politica/ameaca-de-morte-fraude-e-coacao-as-novas-acusacoes-contra-o-presidente-do-partido-de-pablo-marcal/', 'https://www.cartacapital.com.br/politica/em-novo-video-tabata-liga-pablo-marcal-e-aliados-ao-pcc-assista/']",https://www.cartacapital.com.br/cartaexpressa/bolsonaro-jamais-apoiaria-alguem-envolvido-com-pessoas-ligadas-ao-pcc-diz-nunes/
O lucrativo e mortal tráfico de migrantes no México,2026-05-18 18:01:13,,,[],"['https://www.cartacapital.com.br/mundo/mexico-pede-aos-eua-que-regule-a-venda-de-armas-apos-atentado-contra-trump/', 'https://www.cartacapital.com.br/mundo/republicanos-destituem-secretario-de-seguranca-interna-de-biden-por-crise-na-fronteira/', 'https://www.cartacapital.com.br/mundo/naufragio-na-mauritania-deixa-165-migrantes-desaparecidos/', 'https://www.cartacapital.com.br/mundo/pf-deflagra-operacao-contra-migracao-ilegal-para-os-estados-unidos/']",https://www.cartacapital.com.br/mundo/o-lucrativo-e-mortal-trafico-de-migrantes-no-mexico/
Homens e negros são as principais vítimas de tráfico humano no Brasil,2026-05-18 18:01:14,,,[],"['https://www.cartacapital.com.br/?s=tr%C3%A1fico+humano', 'https://www.cartacapital.com.br/?s=minist%C3%A9rio+da+justi%C3%A7a', 'https://www.cartacapital.com.br/?s=trabalho+escravo', 'https://www.cartacapital.com.br/wp-content/uploads/2024/07/cartilha-iv-plano-nacional-de-enfrentamento-ao-trafico-de-pessoas-4.pdf']",https://www.cartacapital.com.br/sociedade/homens-e-negros-sao-as-principais-vitimas-de-trafico-humano-no-brasil/
"Liberar porte de 25g de maconha tiraria 42 mil pessoas da prisão, aponta Ipea",2026-05-18 18:01:15,,,[],"['https://www.cartacapital.com.br/tag/maconha/', 'https://www.cartacapital.com.br/sociedade/atlas-da-violencia-em-2022-agressao-sexual-correspondeu-a-metade-dos-casos-de-violencia-contra-meninas-entre-10-e-14-anos/', 'https://www.cartacapital.com.br/tag/ipea/', 'https://www.cartacapital.com.br/justica/apos-descriminalizacao-entenda-o-que-falta-o-stf-decidir-sobre-o-porte-de-maconha/', 'https://www.cartacapital.com.br/justica/stf-retoma-o-julgamento-sobre-porte-de-maconha-assista-ao-vivo/']",https://www.cartacapital.com.br/cartaexpressa/liberar-porte-de-25g-de-maconha-tiraria-42-mil-pessoas-da-prisao-aponta-ipea/
Europol desmantela vasta rede de tráfico de cocaína do Brasil para a Europa,2026-05-18 18:01:16,,,[],"['https://www.rfi.fr/br/tag/europol/', 'https://www.rfi.fr/br/tag/can%C3%A1rias/']",https://www.cartacapital.com.br/mundo/europol-desmantela-vasta-rede-de-trafico-de-cocaina-do-brasil-para-a-europa/
Operação prende sete por suspeita de tráfico internacional de THC,2026-05-18 18:01:18,,,[],"['https://www.cartacapital.com.br/tag/distrito-federal/', 'https://www.cartacapital.com.br/tag/rio-de-janeiro/', 'https://www.cartacapital.com.br/tag/sao-paulo/', 'https://www.cartacapital.com.br/tag/maconha/', 'https://www.cartacapital.com.br/tag/trafico-internacional-de-drogas/', 'https://www.cartacapital.com.br/tag/estados-unidos/', 'https://www.cartacapital.com.br/tag/anvisa/', 'https://www.cartacapital.com.br/tag/reconhecimento-facial/']",https://www.cartacapital.com.br/sociedade/operacao-prende-sete-por-suspeita-de-trafico-internacional-de-thc/
